MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
2020-11-07 00:51:22.229,7,-19725.0,1
2020-11-07 00:51:23.228,7,-19319.0,1
2020-11-07 00:51:25.226,7,-19813.0,1
2020-11-07 00:51:26.225,7,-19846.0,1
2020-11-07 00:51:27.225,7,-19807.0,1
2020-11-07 00:51:28.225,10,0.0,0
2020-11-07 00:51:28.225,7,-19759.0,1
2020-11-07 00:51:30.225,7,-19757.0,1
2020-11-07 00:51:32.224,7,-19503.0,1
2020-11-07 00:51:34.223,10,0.0,0
2020-11-07 00:51:34.223,7,-19324.0,1
2020-11-07 00:51:36.221,7,-19455.0,1
2020-11-07 00:51:38.220,7,-19779.0,1
2020-11-07 00:51:41.221,10,0.0,0
2020-11-07 00:51:43.219,7,-19734.0,1
2020-11-07 00:51:44.219,7,-19973.0,1
2020-11-07 00:51:46.217,10,0.0,0
2020-11-07 00:51:46.217,7,-20049.0,1
2020-11-07 00:51:48.217,7,-19930.0,1
2020-11-07 00:51:49.218,7,-19664.0,1
2020-11-07 00:51:51.217,7,-19367.0,1
2020-11-07 00:51:53.217,10,0.0,0
2020-11-07 00:51:53.217,7,-19336.0,1
2020-11-07 00:51:54.216,7,-19578.0,1
2020-11-07 00:51:56.215,7,-19338.0,1
2020-11-07 00:51:59.214,10,0.0,0
2020-11-07 00:51:59.214,7,-19860.0,1
2020-11-07 00:52:01.213,7,-19878.0,1
2020-11-07 00:52:03.211,7,-19627.0,1
2020-11-07 00:52:04.210,10,0.0,0
2020-11-07 00:52:07.209,7,-18758.0,1
2020-11-07 00:52:10.209,10,0.0,0
2020-11-07 00:52:10.209,7,-18370.0,1
2020-11-07 00:52:11.209,7,-18627.0,1
2020-11-07 00:52:12.209,7,-19071.0,1
2020-11-07 00:52:14.208,7,-18903.0,1
2020-11-07 00:52:16.208,10,0.0,0
2020-11-07 00:52:16.208,7,-19052.0,1
2020-11-07 00:52:20.205,7,-19260.0,1
2020-11-07 00:52:23.205,10,180.097420698103,0
2020-11-07 00:52:23.205,7,-19056.0,1
2020-11-07 00:52:26.205,7,-19746.0,1
2020-11-07 00:52:28.205,10,0.0,0
2020-11-07 00:52:28.205,7,-19483.0,1
2020-11-07 00:52:32.204,7,-19971.0,1
2020-11-07 00:52:34.203,10,0.0,0
2020-11-07 00:52:34.203,7,-20128.0,1
2020-11-07 00:52:35.204,7,-19821.0,1
2020-11-07 00:52:40.202,10,0.0,0
2020-11-07 00:52:40.202,7,-18758.0,1
2020-11-07 00:52:42.201,7,-18572.0,1
2020-11-07 00:52:46.200,10,0.0,0
2020-11-07 00:52:46.200,7,-18690.0,1
2020-11-07 00:52:48.198,7,-18595.0,1
2020-11-07 00:52:49.199,7,-19068.0,1
2020-11-07 00:52:51.198,7,-19461.0,1
2020-11-07 00:52:53.199,10,0.0,0
2020-11-07 00:52:53.199,7,-20247.0,1
2020-11-07 00:52:55.197,7,-20010.0,1
2020-11-07 00:52:56.198,7,-19925.0,1
2020-11-07 00:52:58.197,10,0.0,0
