MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA
2020-11-07 00:51:22.229,0,0,0
2020-11-07 00:51:22.229,1,1,0
2020-11-07 00:51:22.229,2,63,0
2020-11-07 00:51:22.229,3,0,1
2020-11-07 00:51:22.229,6,5336,1
2020-11-07 00:51:22.229,8,45000,1
2020-11-07 00:51:22.229,9,46320,1
2020-11-07 00:51:23.228,6,5446,1
2020-11-07 00:51:25.226,6,5309,1
2020-11-07 00:51:26.225,6,5298,1
2020-11-07 00:51:27.225,6,5307,1
2020-11-07 00:51:28.225,6,5320,1
2020-11-07 00:51:30.225,6,5318,1
2020-11-07 00:51:32.224,6,5384,1
2020-11-07 00:51:34.223,6,5432,1
2020-11-07 00:51:36.221,6,5395,1
2020-11-07 00:51:38.220,6,5303,1
2020-11-07 00:51:43.219,6,5310,1
2020-11-07 00:51:44.219,6,5246,1
2020-11-07 00:51:46.217,6,5225,1
2020-11-07 00:51:48.217,6,5254,1
2020-11-07 00:51:49.218,6,5323,1
2020-11-07 00:51:51.217,6,5403,1
2020-11-07 00:51:53.217,6,5410,1
2020-11-07 00:51:54.216,6,5341,1
2020-11-07 00:51:56.215,6,5406,1
2020-11-07 00:51:59.214,6,5262,1
2020-11-07 00:52:01.213,6,5253,1
2020-11-07 00:52:03.211,6,5321,1
2020-11-07 00:52:07.209,6,5561,1
2020-11-07 00:52:10.209,6,5677,1
2020-11-07 00:52:11.209,6,5598,1
2020-11-07 00:52:12.209,6,5464,1
2020-11-07 00:52:16.208,6,5468,1
2020-11-07 00:52:17.208,2,62,0
2020-11-07 00:52:20.205,6,5403,1
2020-11-07 00:52:23.205,6,5457,1
2020-11-07 00:52:26.205,6,5265,1
2020-11-07 00:52:28.205,6,5334,1
2020-11-07 00:52:32.204,6,5198,1
2020-11-07 00:52:34.203,6,5156,1
2020-11-07 00:52:35.204,6,5234,1
2020-11-07 00:52:40.202,6,5527,1
2020-11-07 00:52:42.201,6,5580,1
2020-11-07 00:52:46.200,6,5541,1
2020-11-07 00:52:48.198,6,5567,1
2020-11-07 00:52:49.199,6,5427,1
2020-11-07 00:52:51.198,6,5318,1
2020-11-07 00:52:53.199,6,5108,1
2020-11-07 00:52:55.197,6,5167,1
2020-11-07 00:52:56.198,6,5187,1
2020-11-07 00:52:58.197,6,5297,1
2020-11-07 00:53:02.196,6,5505,1
2020-11-07 00:53:03.196,6,5551,1
2020-11-07 00:53:08.195,6,5737,1
2020-11-07 00:53:11.194,6,5769,1
2020-11-07 00:53:12.194,6,5648,1
2020-11-07 00:53:14.193,6,5677,1
2020-11-07 00:53:16.192,6,5703,1
2020-11-07 00:53:17.192,6,5710,1
2020-11-07 00:53:19.191,6,5753,1
2020-11-07 00:53:20.191,6,5819,1
2020-11-07 00:53:24.189,6,5819,1
2020-11-07 00:53:25.190,6,5867,1
2020-11-07 00:53:26.192,6,5907,1
2020-11-07 00:53:29.190,6,5898,1
2020-11-07 00:53:30.191,6,5914,1
2020-11-07 00:53:33.191,6,5874,1
2020-11-07 00:53:35.191,6,5762,1
2020-11-07 00:53:37.189,6,5746,1
2020-11-07 00:53:39.192,6,5727,1
2020-11-07 00:53:42.189,6,5696,1
2020-11-07 00:53:43.188,2,61,0
2020-11-07 00:53:44.187,6,5733,1
2020-11-07 00:53:46.187,6,5759,1
2020-11-07 00:53:48.186,6,5789,1
2020-11-07 00:53:50.185,6,5818,1
2020-11-07 00:53:51.187,6,5831,1
2020-11-07 00:53:53.185,6,5888,1
2020-11-07 00:53:57.184,6,5877,1
2020-11-07 00:54:00.183,6,5929,1
2020-11-07 00:54:04.183,6,5956,1
2020-11-07 00:54:06.181,6,6032,1
2020-11-07 00:54:07.182,6,6014,1
2020-11-07 00:54:09.181,6,6001,1
2020-11-07 00:54:11.180,6,6003,1
2020-11-07 00:54:14.181,6,5899,1
2020-11-07 00:54:17.182,6,5929,1
2020-11-07 00:54:19.180,6,5965,1
2020-11-07 00:54:20.180,6,5874,1
2020-11-07 00:54:23.178,6,5820,1
2020-11-07 00:54:24.177,6,5648,1
2020-11-07 00:54:26.176,6,5584,1
2020-11-07 00:54:28.176,6,5581,1
2020-11-07 00:54:30.175,6,5438,1
2020-11-07 00:54:33.173,6,5384,1
2020-11-07 00:54:35.172,6,5346,1
2020-11-07 00:54:36.172,6,5448,1
2020-11-07 00:54:38.171,6,5515,1
2020-11-07 00:54:40.170,6,5493,1
2020-11-07 00:54:42.170,6,5331,1
2020-11-07 00:54:44.169,6,5349,1
2020-11-07 00:54:46.168,6,5182,1
2020-11-07 00:54:50.166,6,5028,1
2020-11-07 00:54:51.168,6,4650,1
2020-11-07 00:54:53.166,6,4399,1
